year	category	nominee	win	performance	nominee_id
2008	Best Original Score Written for the Theatre	Alan Menken	Nominee	The Little Mermaid	alan-menken-12135
2008	Best Original Score Written for the Theatre	Glenn Slater	Nominee	The Little Mermaid	glenn-slater-80644
2008	Best Revival of a Play	Sonia Friedman Productions	Winner	Boeing-Boeing	sonia-friedman-productions-108722
2008	Best Revival of a Play	Bob Boyett	Winner	Boeing-Boeing	bob-boyett-90012
2008	Best Revival of a Play	ACT Productions	Winner	Boeing-Boeing	act-productions-76194
2008	Best Revival of a Play	Matthew Byam Shaw	Winner	Boeing-Boeing	matthew-byam-shaw-453360
2008	Best Revival of a Play	Robert G. Bartner	Winner	Boeing-Boeing	robert-g-bartner-104800
2008	Best Revival of a Play	The Weinstein Company	Winner	Boeing-Boeing	the-weinstein-company-457580
2008	Best Revival of a Play	Susan Gallin/Mary Lu Roffe	Winner	Boeing-Boeing	susan-gallin-mary-lu-roffe-516189
2008	Best Revival of a Play	Broadway Across America	Winner	Boeing-Boeing	broadway-across-america-477741
2008	Best Revival of a Play	Tulchin/Jenkins/DSM	Winner	Boeing-Boeing	tulchin-jenkins-dsm-478665
2008	Best Revival of a Play	The Araca Group	Winner	Boeing-Boeing	the-araca-group-88201
2008	Best Revival of a Play	Jeffrey Richards	Nominee	The Homecoming	jeffrey-richards-72831
2008	Best Revival of a Play	Jerry Frankel	Nominee	The Homecoming	jerry-frankel-1166
2008	Best Revival of a Play	Jam Theatricals	Nominee	The Homecoming	jam-theatricals-489088
2008	Best Revival of a Play	Ergo Entertainment	Nominee	The Homecoming	ergo-entertainment-108234
2008	Best Revival of a Play	Barbara and Buddy Freitag	Nominee	The Homecoming	barbara-and-buddy-freitag-487859
2008	Best Revival of a Play	Michael Gardner	Nominee	The Homecoming	michael-gardner-104858
